,ContrastType,effect,p_value,stat,z_score,Source,Detector,Chroma,Significant,ch_name,ID,fdr_status
194,t,1.5098314345147345e-06,0.02954472861408272,1.8907606307682256,1.8875271568750096,7,5,hbo,True,S7_D5 hbo,12,True
214,t,9.605638498885767e-07,0.030994767623875985,1.8695120831528624,1.8663705872955538,8,6,hbr,True,S8_D6 hbr,12,True
422,t,3.994005379504085e-07,0.03673266538707948,1.792766492980065,1.789928970917532,4,5,hbr,True,S4_D5 hbr,1,True
532,t,5.092482052511117e-07,0.04305376001642051,1.7186925358715697,1.7162979680992714,5,4,hbr,True,S5_D4 hbr,6,True
831,t,4.939917094575218e-06,0.0033572455744130714,2.717408546671794,2.710682376661867,2,3,hbo,True,S2_D3 hbo,10,True
839,t,6.360342017812983e-06,0.0018446074677672675,2.911722775215309,2.9035810270646243,5,6,hbo,True,S5_D6 hbo,10,True
937,t,2.50704179891594e-06,0.042770214353463766,1.7216148318497317,1.719406229592252,1,2,hbo,True,S1_D2 hbo,11,True
967,t,1.9280342563840606e-06,0.006336505135560257,2.4986725635847753,2.4928283279319796,6,6,hbr,True,S6_D6 hbr,11,True
969,t,2.6286796161515364e-06,0.03701881840036985,1.7888116907194056,1.786380709836047,7,7,hbr,True,S7_D7 hbr,11,True
971,t,1.093797193580923e-06,0.02748709506690089,1.9219985342504853,1.9190801582622181,8,7,hbr,True,S8_D7 hbr,11,True
1046,t,3.184230452774974e-06,0.003090586720891429,2.746001281009846,2.7380124577034928,2,1,hbo,True,S2_D1 hbo,5,True
1063,t,1.256686972511177e-06,0.003995107850635936,2.6598013133061356,2.6524829763071422,1,2,hbr,True,S1_D2 hbr,5,True
1156,t,1.605436800968353e-06,0.032252872184795216,1.851720392429347,1.8486681572754993,3,3,hbo,True,S3_D3 hbo,2,True
1161,t,1.8100930652306966e-06,0.03530791590405811,1.8108242636493488,1.8079400485132497,5,3,hbo,True,S5_D3 hbo,2,True
1162,t,1.7078590992460808e-06,0.023006886654387455,1.9989821436418365,1.9952669425728717,5,4,hbo,True,S5_D4 hbo,2,True
1164,t,2.2455783777270117e-06,0.004907218885006126,2.589708135036925,2.582299478050581,6,4,hbo,True,S6_D4 hbo,2,True
1168,t,1.6769390978581217e-06,0.03758892231927501,1.7821482097628956,1.779377793557039,8,6,hbo,True,S8_D6 hbo,2,True
1386,t,9.016803463138192e-07,0.007387606179282376,2.4440438282098484,2.4378424419744023,1,1,hbr,True,S1_D1 hbr,4,True
1391,t,4.617419405384402e-07,0.0077762061524637854,2.4253270517620527,2.419253155682155,3,4,hbr,True,S3_D4 hbr,4,True
1393,t,8.252173057170245e-06,0.015335558040626042,2.1658027424739537,2.1613136906060397,4,4,hbr,True,S4_D4 hbr,4,True
1398,t,4.267936223702068e-07,0.025087112661943602,1.9619430989218023,1.9584756520096578,6,4,hbr,True,S6_D4 hbr,4,True
