,Condition,df,mse,p_value,se,t,theta,Source,Detector,Chroma,Significant,ch_name,ID,fdr_status
28,ShortHbO,27.0,3.663766202489939e-11,4.4063883543302135e-08,0.021058722700733137,7.513585866381566,0.15822652124827713,1,2,hbo,True,S1_D2 hbo,1,True
29,ShortHbR,27.0,3.663766202489939e-11,4.101659887314874e-06,0.022075221332140467,5.749704306883911,0.12692599516882364,1,2,hbo,True,S1_D2 hbo,1,True
55,ShortHbO,27.0,9.211641286641402e-11,1.4170828327457867e-08,0.033957234919626045,7.978498253916826,0.2709277395140799,1,3,hbo,True,S1_D3 hbo,1,True
56,ShortHbR,27.0,9.211641286641402e-11,5.860821393702005e-06,0.035698771204309754,5.615471299298805,0.20046542511803606,1,3,hbo,True,S1_D3 hbo,1,True
110,ShortHbR,27.0,1.4929455352533807e-11,0.0009548212623332211,0.013942058365188826,3.707334188848435,0.05168786964018485,2,3,hbo,True,S2_D3 hbo,1,True
163,ShortHbO,27.0,7.305076657544995e-12,6.583909114380356e-06,0.009121765761014712,5.571807638623832,0.0508247241449591,3,4,hbo,True,S3_D4 hbo,1,True
164,ShortHbR,27.0,7.305076657544995e-12,0.0003143567971764218,0.009532293866426136,4.12899441132232,0.03935878810155555,3,4,hbo,True,S3_D4 hbo,1,True
190,ShortHbO,27.0,2.7767560560288044e-09,4.5099582263926594e-23,0.19005279087398344,32.18266104178518,6.116404548742693,4,2,hbo,True,S4_D2 hbo,1,True
191,ShortHbR,27.0,2.7767560560288044e-09,1.809447427307842e-05,0.20091277949333836,-5.193895497437755,-1.0435199807881546,4,2,hbo,True,S4_D2 hbo,1,True
217,ShortHbO,27.0,4.26897075727429e-09,2.0840169741048895e-25,0.23564974685335124,39.43669680608214,9.293247619085621,4,3,hbo,True,S4_D3 hbo,1,True
244,ShortHbO,27.0,1.5973059117176438e-10,1.9233969254934458e-07,0.0457960128092873,6.925564241737917,0.31716322872617175,5,5,hbo,True,S5_D5 hbo,1,True
245,ShortHbR,27.0,1.5973059117176438e-10,5.641789156357623e-06,0.04851855205625337,5.629775943068034,0.2731485771587893,5,5,hbo,True,S5_D5 hbo,1,True
270,Driving,27.0,7.960854944135983e-11,0.0017811983259480746,2.8272000903246456e-06,-3.466289236742613,-9.799893243210063e-06,5,6,hbo,True,S5_D6 hbo,1,True
325,ShortHbO,27.0,3.0381229357557726e-11,0.00043298810424849935,0.018392431460709867,4.008272364845087,0.07372187474627072,6,7,hbo,True,S6_D7 hbo,1,True
326,ShortHbR,27.0,3.0381229357557726e-11,0.001994955609005308,0.0192059714387304,3.4220217785707776,0.06572325254194376,6,7,hbo,True,S6_D7 hbo,1,True
352,ShortHbO,27.0,8.045328892255448e-12,2.3463323141269702e-06,0.009572787717457025,5.960750399879259,0.05706099821479122,7,5,hbo,True,S7_D5 hbo,1,True
353,ShortHbR,27.0,8.045328892255448e-12,0.0004904372775244244,0.010003614216198015,3.961144746129492,0.03962576389479906,7,5,hbo,True,S7_D5 hbo,1,True
379,ShortHbO,27.0,1.3782429990393117e-11,4.964605960777325e-06,0.012529375483033305,5.677833712157671,0.0711397105098483,7,6,hbo,True,S7_D6 hbo,1,True
380,ShortHbR,27.0,1.3782429990393117e-11,0.0005178134075600219,0.013093264198639376,3.9405684899538644,0.05159490433179936,7,6,hbo,True,S7_D6 hbo,1,True
