,ContrastType,effect,p_value,stat,z_score,Source,Detector,Chroma,Significant,ch_name,ID,fdr_status
196,t,3.5940972472642e-06,0.030994767623876072,1.869512083152861,1.8663705872955525,8,6,hbo,True,S8_D6 hbo,12,True
212,t,2.9915962035139817e-07,0.02954472861408272,1.8907606307682256,1.8875271568750096,7,5,hbr,True,S7_D5 hbr,12,True
404,t,8.635273079303124e-07,0.03673266538707948,1.7927664929800653,1.789928970917532,4,5,hbo,True,S4_D5 hbo,1,True
514,t,1.543253719297411e-06,0.043053760016420604,1.7186925358715688,1.7162979680992703,5,4,hbo,True,S5_D4 hbo,6,True
849,t,1.0730499876437235e-06,0.0033572455744130714,2.717408546671794,2.710682376661867,2,3,hbr,True,S2_D3 hbr,10,True
857,t,1.6545706213083787e-06,0.0018446074677672675,2.911722775215309,2.9035810270646243,5,6,hbr,True,S5_D6 hbr,10,True
949,t,7.367102593379519e-06,0.006336505135560268,2.498672563584775,2.492828327931979,6,6,hbo,True,S6_D6 hbo,11,True
951,t,8.273498638619788e-06,0.03701881840036989,1.788811690719405,1.7863807098360465,7,7,hbo,True,S7_D7 hbo,11,True
953,t,4.694483704839847e-06,0.027487095066900964,1.9219985342504837,1.9190801582622168,8,7,hbo,True,S8_D7 hbo,11,True
955,t,8.138947961513118e-07,0.04277021435346371,1.7216148318497324,1.7194062295922528,1,2,hbr,True,S1_D2 hbr,11,True
1045,t,4.491008334230031e-06,0.003995107850635936,2.6598013133061356,2.6524829763071422,1,2,hbo,True,S1_D2 hbo,5,True
1064,t,6.800561416901406e-07,0.0030905867208914266,2.7460012810098466,2.738012457703493,2,1,hbr,True,S2_D1 hbr,5,True
1174,t,3.9449840842190154e-07,0.032252872184795146,1.851720392429348,1.8486681572755002,3,3,hbr,True,S3_D3 hbr,2,True
1177,t,2.825149600183729e-06,0.028497049488310357,1.9066447911738178,1.9033560711332647,4,4,hbr,True,S4_D4 hbr,2,True
1179,t,4.5264189249142786e-07,0.035307915904058046,1.8108242636493492,1.8079400485132504,5,3,hbr,True,S5_D3 hbr,2,True
1180,t,6.235015743824035e-07,0.02300688665438742,1.9989821436418371,1.9952669425728724,5,4,hbr,True,S5_D4 hbr,2,True
1182,t,6.992741627968364e-07,0.004907218885006126,2.589708135036925,2.582299478050581,6,4,hbr,True,S6_D4 hbr,2,True
1186,t,5.107470227170918e-07,0.03758892231927505,1.7821482097628951,1.7793777935570385,8,6,hbr,True,S8_D6 hbr,2,True
1368,t,2.766282441438336e-06,0.007387606179282383,2.444043828209848,2.437842441974402,1,1,hbo,True,S1_D1 hbo,4,True
1373,t,1.1709266443713026e-06,0.007776206152463774,2.425327051762053,2.419253155682155,3,4,hbo,True,S3_D4 hbo,4,True
1375,t,7.081827577888558e-06,0.03965349367530938,1.7573412970110722,1.754721320384566,4,4,hbo,True,S4_D4 hbo,4,True
1380,t,8.524339521588968e-07,0.025087112661943637,1.9619430989218014,1.958475652009657,6,4,hbo,True,S6_D4 hbo,4,True
