ch_name,Condition,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],Chroma,Significant,group
S1_D1 hbo,Control,-2043204.7248803508,5.436134247523037e-07,-3.7585619336228357,0.00017089274026946423,-3.1086674589073407e-06,-9.777419908533603e-07,hbo,True,anon
S1_D1 hbo,Inflam,1096151.9769111967,5.436134247523037e-07,2.0164181512085655,0.04375626905290506,3.06892428842066e-08,2.1616147109381872e-06,hbo,True,anon
S2_D1 hbo,Control,-2734568.9308743607,5.436134247523038e-07,-5.03035577555937,4.895705365397145e-07,-3.800031664901351e-06,-1.6691061968473701e-06,hbo,True,anon
S2_D1 hbo,Inflam,-1736315.2856118418,5.436134247523037e-07,-3.19402576638535,0.001403035940335533,-2.8017780196388322e-06,-6.708525515848516e-07,hbo,True,anon
S2_D3 hbo,Neutral,-2143717.726337334,5.436134247523036e-07,-3.9434598719009104,8.031443528482956e-05,-3.2091804603643245e-06,-1.0782549923103443e-06,hbo,True,anon
S3_D3 hbo,Inflam,-1277444.0423039573,5.436134247523036e-07,-2.3499126109441137,0.018777819115142626,-2.3429067763309473e-06,-2.1198130827696728e-07,hbo,True,anon
S3_D3 hbo,Neutral,-3409143.951995189,5.436134247523038e-07,-6.27126519833199,3.5812604402972117e-10,-4.474606686022179e-06,-2.3436812179681985e-06,hbo,True,anon
S3_D4 hbo,Control,-1266609.6120484993,5.436134247523036e-07,-2.3299822159940726,0.01980709107535213,-2.3320723460754896e-06,-2.0114687802150942e-07,hbo,True,anon
S3_D4 hbo,Inflam,-1785939.3684639572,5.436134247523036e-07,-3.285311375961175,0.0010186972499878065,-2.851402102490947e-06,-7.204766344369672e-07,hbo,True,anon
S3_D4 hbo,Neutral,-2779379.10410924,5.436134247523037e-07,-5.112785993788985,3.174418604108946e-07,-3.844841838136231e-06,-1.7139163700822504e-06,hbo,True,anon
S4_D2 hbo,Control,5346982.815703554,5.436134247523037e-07,9.836002151970208,7.877931961040809e-23,4.281520081676564e-06,6.412445549730544e-06,hbo,True,anon
S4_D2 hbo,Inflam,-2790166.2897757036,5.436134247523036e-07,-5.132629480309537,2.85722036517304e-07,-3.855629023802693e-06,-1.7247035557487134e-06,hbo,True,anon
S4_D2 hbo,Neutral,-1457140.072433821,5.436134247523035e-07,-2.6804710959773743,0.0073518613314782115,-2.522602806460811e-06,-3.9167733840683114e-07,hbo,True,anon
S4_D4 hbo,Control,-1796490.6057837359,5.436134247523036e-07,-3.304720825469502,0.000950710479887097,-2.861953339810726e-06,-7.310278717567459e-07,hbo,True,anon
S4_D5 hbo,Neutral,-2095393.4700215994,5.436134247523035e-07,-3.854565348485207,0.00011593541456895385,-3.1608562040485892e-06,-1.0299307359946097e-06,hbo,True,anon
